NDM@IC6@SIO4@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R2.11
NDM@IC3@SIO6@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.12
NDM@IC2@SIO6@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΛΕΒΗΤΟΣΤΑΣΙΟ
NDM@IC7@SIO8@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 6.4 1ος ΚΤ-6
NDM@IC6@SIO8@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R1.7
NDM@IC8@SIO4@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 7.1 2ος ΚΤ-2K
NDM@IC1@SIO6@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 5.3 Β' ΙΣ. ΚΤ-1
NDM@IC4@SIO2@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 3ος ΚΤ-4
NDM@IC6@SIO1@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.5
NDM@IC4@SIO8@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.2
NDM@IC5@SIO1@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R4.8
NDM@IC1@SIO4@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 6.3 1ος ΚΤ-1
BIB@R2	OUT	ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ, ΕΞΟΔΟΣ, R2a
NDM@IC7@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.24
NDM@IC5@SIO3@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.10
NDM@IC4@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 2ος ΚΤ-4
NDM@IC3@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R1.2
NDM@IC2@SIO4@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 6.1 1ος ΚΤ-2
NDM@IC7@SIO8@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 1ος ΚΤ-6
NDM@IC3@SIO1@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R3.3
NDM@IC6@SIO7@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R1.6
NDM@IC5@SIO8@R1	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 7.3 2ος ΚΤ-4
NDM@IC6@SIO8@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΠΑΓΟΛΕΚΑΝΕΣ
NDM@IC7@SIO1@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R3.8
